model,topic_id,topic_doc_count,keyword_rank,keyword,keyword_score
BERTopic,0,163,1,web,0.04286769624225995
BERTopic,0,163,2,waterfall,0.03356071122861917
BERTopic,0,163,3,purbalingga,0.03161505866004127
BERTopic,0,163,4,pengelolaan,0.030710023648632023
BERTopic,0,163,5,desa,0.02994458048882315
BERTopic,0,163,6,penjualan,0.0293054315731227
BERTopic,0,163,7,mysql,0.027921237769659296
BERTopic,0,163,8,umkm,0.024409338442240268
BERTopic,0,163,9,dibangun,0.023793504678973756
BERTopic,0,163,10,transaksi,0.019550739533444206
BERTopic,1,128,1,pengelolaan,0.028660167711489246
BERTopic,1,128,2,unsoed,0.027679183053303226
BERTopic,1,128,3,kinerja,0.022505320267641512
BERTopic,1,128,4,audit,0.01848035651436165
BERTopic,1,128,5,kriteria,0.01754020902942942
BERTopic,1,128,6,karyawan,0.01683960732021352
BERTopic,1,128,7,dibangun,0.016546543258535277
BERTopic,1,128,8,monitoring,0.016417777228573863
BERTopic,1,128,9,tahap,0.016194365408985726
BERTopic,1,128,10,seleksi,0.01484249162672253
BERTopic,2,56,1,klasifikasi,0.042930606350787624
BERTopic,2,56,2,risiko,0.031488912704864605
BERTopic,2,56,3,penyakit,0.025512675174992054
BERTopic,2,56,4,precision,0.024755938028535797
BERTopic,2,56,5,performa,0.02203200253393438
BERTopic,2,56,6,klasterisasi,0.01999517045545194
BERTopic,2,56,7,arsitektur,0.01953987626390454
BERTopic,2,56,8,vector,0.0182976926204346
BERTopic,2,56,9,leakage,0.017725184479876425
BERTopic,2,56,10,clustering,0.017263747369406435
BERTopic,3,26,1,rekomendasi,0.0518917891144383
BERTopic,3,26,2,precision,0.031196572008878726
BERTopic,3,26,3,objek,0.029649481485130334
BERTopic,3,26,4,bengkel,0.027908286326396785
BERTopic,3,26,5,filtering,0.026528742836261082
BERTopic,3,26,6,recall,0.02393300932070333
BERTopic,3,26,7,uat,0.021809519193829625
BERTopic,3,26,8,karies,0.021631563787335883
BERTopic,3,26,9,film,0.020931214744797588
BERTopic,3,26,10,stack,0.020200892506119488
BERTopic,4,26,1,sentimen,0.1257848669525398
BERTopic,4,26,2,ulasan,0.05747974346437563
BERTopic,4,26,3,pemain,0.051601488092515746
BERTopic,4,26,4,naïve,0.04847770343654304
BERTopic,4,26,5,classifier,0.03655500228043269
BERTopic,4,26,6,stemming,0.03493627788285863
BERTopic,4,26,7,dataset,0.032697324092829834
BERTopic,4,26,8,recall,0.02826650731312105
BERTopic,4,26,9,recognition,0.022629287125982143
BERTopic,4,26,10,idf,0.022478373228892443
BERTopic,5,19,1,edukasi,0.15349591698159554
BERTopic,5,19,2,pembelajaran,0.1062441894157906
BERTopic,5,19,3,materi,0.04111266394904874
BERTopic,5,19,4,development,0.03837564296999666
BERTopic,5,19,5,permainan,0.035386159130818766
BERTopic,5,19,6,unity,0.032599141599486764
BERTopic,5,19,7,asesmen,0.031999674805043
BERTopic,5,19,8,menarik,0.031055014800780056
BERTopic,5,19,9,menyenangkan,0.02953021926145517
BERTopic,5,19,10,post,0.02614034935902217
BERTopic,6,19,1,produk,0.11466216671969232
BERTopic,6,19,2,clustering,0.06809435291988458
BERTopic,6,19,3,penjualan,0.05035317489288036
BERTopic,6,19,4,area,0.048588670126364045
BERTopic,6,19,5,segmentasi,0.04249795348953163
BERTopic,6,19,6,confidence,0.03359732085096264
BERTopic,6,19,7,rekomendasi,0.0320429294772875
BERTopic,6,19,8,goreng,0.030132375209774485
BERTopic,6,19,9,pasar,0.025809149359731387
BERTopic,6,19,10,moora,0.025442640568542074
BERTopic,7,20,1,performa,0.11268727290483181
BERTopic,7,20,2,laravel,0.1006818534111925
BERTopic,7,20,3,throughput,0.04069934490499781
BERTopic,7,20,4,native,0.038542641242204294
BERTopic,7,20,5,blade,0.037687596208493074
BERTopic,7,20,6,react,0.026988957594227692
BERTopic,7,20,7,stabil,0.02620899604469892
BERTopic,7,20,8,flutter,0.02608354468201411
BERTopic,7,20,9,vue,0.024952773307051604
BERTopic,7,20,10,load,0.023123969099662786
BERTopic,8,16,1,kerentanan,0.0919251158280747
BERTopic,8,16,2,latency,0.05386327169942152
BERTopic,8,16,3,supabase,0.04299727956594112
BERTopic,8,16,4,postgresql,0.03943975390607391
BERTopic,8,16,5,server,0.03641885770476253
BERTopic,8,16,6,anomali,0.03452378501153885
BERTopic,8,16,7,pemuatan,0.029767347391805393
BERTopic,8,16,8,sql,0.029767347391805393
BERTopic,8,16,9,firebase,0.029102271700882924
BERTopic,8,16,10,throughput,0.027705066454012568
LDA,0,44,1,barang,0.03265037387609482
LDA,0,44,2,pakar,0.016591355204582214
LDA,0,44,3,sakit,0.015318372286856174
